Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.000333168231090752,-0.0490077134325243,0.105556739128517,0,0,0,0.43756889593348,0.000780173945392212,1.72547696446318E-06,-8.11722846382929E-08,0.000825842165328829,4.67151417985947E-05,0.000643183765667985,0,0,0,0,0,0,package://flov2withheadnew/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://flov2withheadnew/meshes/base_link.STL,,FLO PRIMARY HEAD-1;FLO-V2-TORSO-Assembly-1/Motor-frame-v2-1;FLO-V2-TORSO-Assembly-1/NECK-1;FLO-V2-TORSO-Assembly-1/XC-430_idle.stp-1;FLO-V2-TORSO-Assembly-1/ROBOTIS_U2D2_Power_Hub_Board.stp-1;FLO-V2-TORSO-Assembly-1/Chassis-whole-v3-1;FLO-V2-TORSO-Assembly-1/Motor-frame-v2-mirror-1;FLO-V2-TORSO-Assembly-1/XC-430_idle.stp-2;FLO-V2-BODYSHELL-Assembly-1,Coordinate System9,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
right_up_joint,5.09595476927416E-10,7.24041410160581E-10,-0.0157092653420776,0,0,0,0.0208133468453592,6.27974968154286E-06,-1.32343047844244E-11,8.9577378535133E-14,1.11423800240112E-05,1.2794408445243E-13,8.2135527700594E-06,0,0,0,0,0,0,package://flov2withheadnew/meshes/right_up_joint.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://flov2withheadnew/meshes/right_up_joint.STL,,FLO-V2-TORSO-Assembly-1/joint_torso_v2-1,Coordinate System1,Axis1,r1,revolute,0.093361211695552,-0.0510621773979171,0.130810083582386,1.5707963267949,0,1.5707963267949,base_link,0,0,1,100,1,-3.14,3.14,,,,,,,,
right_up_arm,0.0373903260955438,6.01721482873518E-05,-0.00541151025560816,0,0,0,0.142004365290478,3.19807239576317E-05,-4.35320002639336E-08,2.24405433812147E-06,6.16421105939795E-05,9.81629533545318E-10,6.84742764155626E-05,0,0,0,0,0,0,package://flov2withheadnew/meshes/right_up_arm.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://flov2withheadnew/meshes/right_up_arm.STL,,UP_arm-2,Coordinate System2,Axis2,r2,revolute,0,0,0,-1.5708,0,-1.5708,right_up_joint,0,0,-1,100,1,-3.14,3.14,,,,,,,,
right_low_joint,0.101290734657923,-5.09595143860508E-10,-0.00100000072404148,0,0,0,0.0208133468453592,8.21355277005941E-06,-8.95773977557011E-14,-1.27944096469429E-13,6.27974968154287E-06,-1.32343048011784E-11,1.11423800240113E-05,0,0,0,0,0,0,package://flov2withheadnew/meshes/right_low_joint.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://flov2withheadnew/meshes/right_low_joint.STL,,joint_torso_v2-1,Coordinate System2,Axis3,r3,revolute,0,0,0,0,0,0,right_up_arm,1,0,0,100,1,-3.14,3.14,,,,,,,,
right_low_arm,0.048119627739288,-0.000145349481926281,0.000141021295786192,0,0,0,0.18903364369622,7.6979741225698E-05,-3.38641336425117E-07,-3.25828337646383E-09,8.21074310058178E-05,-5.51403520464928E-07,0.000103326261719523,0,0,0,0,0,0,package://flov2withheadnew/meshes/right_low_arm.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://flov2withheadnew/meshes/right_low_arm.STL,,LOW_arm-2;connect-2,Coordinate System4,Axis4,r4,revolute,0.117,0,-0.00100000000000022,1.5707963267949,-1.5707963267949,0,right_low_joint,0,0,-1,100,1,-3.14,3.14,,,,,,,,
right_gripper,0.00394028289478576,0.000648626674702224,-0.0216328066989443,0,0,0,0.103299324219439,2.0963004369683E-05,2.90752267814485E-08,-3.12167035365809E-07,1.89319959235232E-05,1.75561004581711E-08,2.33522908570638E-05,0,0,0,0,0,0,package://flov2withheadnew/meshes/right_gripper.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://flov2withheadnew/meshes/right_gripper.STL,,gripper-2,Coordinate System10,Axis_r5,r5,fixed,0.151140016004298,0.000250000000047816,-0.000500000000000167,1.5707963267949,0,1.5707963267949,right_low_arm,0,0,0,,,,,,,,,,,,
left_up_joint,-5.09595438763499E-10,-7.24041521182883E-10,-0.0157092653420777,0,0,0,0.0208133468453592,6.27974968154287E-06,-1.32343047861589E-11,-8.95773956018588E-14,1.11423800240112E-05,-1.27944102488138E-13,8.21355277005941E-06,0,0,0,0,0,0,package://flov2withheadnew/meshes/left_up_joint.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://flov2withheadnew/meshes/left_up_joint.STL,,FLO-V2-TORSO-Assembly-1/joint_torso_v2-2,Coordinate System5,Axis7,l1,revolute,-0.0936387883044479,-0.0510621773979172,0.130726931673384,-1.5707963267949,0,1.5707963267949,base_link,0,0,1,100,1,-3.14,3.14,,,,,,,,
left_up_arm,0.0373903260955437,6.01721482867967E-05,-0.00541151025560827,0,0,0,0.142004365290477,3.19807239576316E-05,-4.3532000263962E-08,2.24405433812155E-06,6.16421105939794E-05,9.81629533561122E-10,6.84742764155625E-05,0,0,0,0,0,0,package://flov2withheadnew/meshes/left_up_arm.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://flov2withheadnew/meshes/left_up_arm.STL,,UP_arm-1,Coordinate System6,Axis8,l2,revolute,0,0,0,1.5707963267949,0,1.57079632679489,left_up_joint,0,0,-1,100,1,-3.14,3.14,,,,,,,,
left_low_joint,3.33066907387547E-16,-2.85966316598829E-10,0.0242907343896306,0,0,0,0.0208133475595526,6.27974985366218E-06,-1.33778831811749E-11,1.17482825019078E-19,1.114238023727E-05,-4.94677559899214E-14,8.21355305611453E-06,0,0,0,0,0,0,package://flov2withheadnew/meshes/left_low_joint.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://flov2withheadnew/meshes/left_low_joint.STL,,joint_torso_v2-2,Coordinate System7,Axis9,l3,revolute,0.077,0,-0.00100000000000024,-1.5707963267949,0,-1.5707963267949,left_up_arm,0,0,1,100,1,-3.14,3.14,,,,,,,,
left_low_arm,0.0481196273812194,-0.000145349329485026,0.000141021295786525,0,0,0,0.18903364369622,7.69797412256979E-05,-3.38641336425111E-07,-3.25828337644673E-09,8.21074310058178E-05,-5.51403520464904E-07,0.000103326261719523,0,0,0,0,0,0,package://flov2withheadnew/meshes/left_low_arm.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://flov2withheadnew/meshes/left_low_arm.STL,,LOW_arm-1;connect-1,Coordinate System8,Axis10,l4,revolute,0,0,0.04,-1.5707963267949,0,-1.5707963267949,left_low_joint,0,0,-1,100,1,-3.14,3.14,,,,,,,,
